prolificPID,recID,questionNumber,response,created_at
63d3f9beaad133b63033f4b0,0,1,false,2023-06-12T07:18:21Z
63d3f9beaad133b63033f4b0,0,2,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,0,3,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,0,4,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,0,5,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,1,1,true,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,1,2,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,1,3,5,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,1,4,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,1,5,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,2,1,true,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,2,2,5,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,2,3,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,2,4,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,2,5,5,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,3,1,true,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,3,2,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,3,3,5,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,3,4,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,3,5,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,4,1,true,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,4,2,1,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,4,3,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,4,4,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,4,5,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,5,1,true,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,5,2,5,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,5,3,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,5,4,4,2023-06-12T07:18:30Z
63d3f9beaad133b63033f4b0,5,5,4,2023-06-12T07:18:30Z
5cd5419ba9a8c40019639382,0,1,true,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,0,2,5,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,0,3,3,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,0,4,4,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,0,5,4,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,1,1,true,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,1,2,5,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,1,3,4,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,1,4,4,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,1,5,3,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,2,1,true,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,2,2,5,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,2,3,4,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,2,4,3,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,2,5,4,2023-06-12T07:18:41Z
5cd5419ba9a8c40019639382,3,1,true,2023-06-12T07:18:41Z
