imdbID,title
tt0111161,The Shawshank Redemption
tt0468569,The Dark Knight
tt1375666,Inception
tt0137523,Fight Club
tt0109830,Forrest Gump
tt0110912,Pulp Fiction
tt0133093,The Matrix
tt0120737,The Lord of the Rings: The Fellowship of the Ring
tt0068646,The Godfather
tt0816692,Interstellar
tt0167260,The Lord of the Rings: The Return of the King
tt1345836,The Dark Knight Rises
tt0167261,The Lord of the Rings: The Two Towers
tt0114369,Se7en
tt1853728,Django Unchained
tt0172495,Gladiator
tt0372784,Batman Begins
tt0361748,Inglourious Basterds
tt0102926,The Silence of the Lambs
tt0993846,The Wolf of Wall Street
tt0120815,Saving Private Ryan
tt0076759,Star Wars: Episode IV - A New Hope
tt0108052,Schindler's List
tt0482571,The Prestige
tt1130884,Shutter Island
tt0407887,The Departed
tt7286456,Joker
tt0120689,The Green Mile
tt0080684,Star Wars: Episode V - The Empire Strikes Back
tt0071562,The Godfather Part II
tt0209144,Memento
tt0088763,Back to the Future
tt0099685,Goodfellas
tt0110413,Léon: The Professional
tt4154796,Avengers: Endgame
tt0169547,American Beauty
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
tt0120586,American History X
tt0910970,WALL·E
tt0434409,V for Vendetta
tt0266697,Kill Bill: Vol. 1
tt0103064,Terminator 2: Judgment Day
tt4154756,Avengers: Infinity War
tt0120382,The Truman Show
tt0114814,The Usual Suspects
tt0110357,The Lion King
tt0086190,Star Wars: Episode VI - Return of the Jedi
tt1049413,Up
tt0266543,Finding Nemo
tt0112573,Braveheart
tt0081505,The Shining
tt0105236,Reservoir Dogs
tt0338013,Eternal Sunshine of the Spotless Mind
tt1392190,Mad Max: Fury Road
tt0073486,One Flew Over the Cuckoo's Nest
tt0264464,Catch Me If You Can
tt0114709,Toy Story
tt0107290,Jurassic Park
tt0167404,The Sixth Sense
tt2267998,Gone Girl
tt0119217,Good Will Hunting
tt0477348,No Country for Old Men
tt0082971,Indiana Jones and the Raiders of the Lost Ark
tt0268978,A Beautiful Mind
tt0198781,"Monsters, Inc."
tt2582802,Whiplash
tt0078748,Alien
tt0095016,Die Hard
tt1201607,Harry Potter and the Deathly Hallows: Part 2
tt0088247,The Terminator
tt1675434,The Intouchables
tt0208092,Snatch
tt0086250,Scarface
tt0075314,Taxi Driver
tt0180093,Requiem for a Dream
tt0253474,The Pianist
tt0435761,Toy Story 3
tt6751668,Parasite
tt0066921,A Clockwork Orange
tt2278388,The Grand Budapest Hotel
tt0118715,The Big Lebowski
tt0050083,12 Angry Men
tt10872600,Spider-Man: No Way Home
tt1205489,Gran Torino
tt0245429,Spirited Away
tt0083658,Blade Runner
tt3315342,Logan
tt0060196,"The Good, the Bad and the Ugly"
tt0097576,Indiana Jones and the Last Crusade
tt0317248,City of God
