imdbID,title
tt1375666,Inception
tt0120737,The Lord of the Rings: The Fellowship of the Ring
tt0816692,Interstellar
tt0167260,The Lord of the Rings: The Return of the King
tt0167261,The Lord of the Rings: The Two Towers
tt0172495,Gladiator
tt0361748,Inglourious Basterds
tt0076759,Star Wars: Episode IV - A New Hope
tt0499549,Avatar
tt0080684,Star Wars: Episode V - The Empire Strikes Back
tt0088763,Back to the Future
tt0111161,The Shawshank Redemption
tt0468569,The Dark Knight
tt0110912,Pulp Fiction
tt2015381,Guardians of the Galaxy
tt4154796,Avengers: Endgame
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
tt0910970,WALL·E
tt4154756,Avengers: Infinity War
tt0110357,The Lion King
tt0371746,Iron Man
tt0086190,Star Wars: Episode VI - Return of the Jedi
tt1049413,Up
tt0266543,Finding Nemo
tt0137523,Fight Club
tt0109830,Forrest Gump
tt0068646,The Godfather
tt1345836,The Dark Knight Rises
tt0114369,Se7en
tt1853728,Django Unchained
tt0372784,Batman Begins
tt0102926,The Silence of the Lambs
tt0993846,The Wolf of Wall Street
tt0120815,Saving Private Ryan
tt0108052,Schindler's List
tt0133093,The Matrix
tt0848228,The Avengers
tt0110413,Léon: The Professional
tt0434409,V for Vendetta
tt0266697,Kill Bill: Vol. 1
tt0407887,The Departed
tt7286456,Joker
tt0120689,The Green Mile
tt0071562,The Godfather Part II
tt0099685,Goodfellas
tt0120586,American History X
tt0114814,The Usual Suspects
tt0105236,Reservoir Dogs
tt0264464,Catch Me If You Can
tt1392190,Mad Max: Fury Road
tt0114709,Toy Story
tt0107290,Jurassic Park
tt0082971,Indiana Jones and the Raiders of the Lost Ark
tt1392170,The Hunger Games
tt2488496,Star Wars: Episode VII - The Force Awakens
tt0198781,"Monsters, Inc."
tt1201607,Harry Potter and the Deathly Hallows: Part 2
tt2395427,Avengers: Age of Ultron
tt0112573,Braveheart
tt0435761,Toy Story 3
tt0120382,The Truman Show
tt0482571,The Prestige
tt0120338,Titanic
tt0169547,American Beauty
tt0081505,The Shining
tt0338013,Eternal Sunshine of the Spotless Mind
tt0073486,One Flew Over the Cuckoo's Nest
tt0103064,Terminator 2: Judgment Day
tt1431045,Deadpool
tt0095016,Die Hard
tt0088247,The Terminator
tt1300854,Iron Man 3
tt0800369,Thor
tt1843866,Captain America: The Winter Soldier
tt0458339,Captain America: The First Avenger
tt0145487,Spider-Man
tt1228705,Iron Man 2
tt0477348,No Country for Old Men
tt0208092,Snatch
tt0086250,Scarface
tt0075314,Taxi Driver
tt1010048,Slumdog Millionaire
tt0066921,A Clockwork Orange
tt2278388,The Grand Budapest Hotel
tt0118715,The Big Lebowski
tt0050083,12 Angry Men
tt0401792,Sin City
tt3659388,The Martian
tt0903624,The Hobbit: An Unexpected Journey
tt1663202,The Revenant
tt0120915,Star Wars: Episode I - The Phantom Menace
tt0121766,Star Wars: Episode III - Revenge of the Sith
tt0241527,Harry Potter and the Sorcerer's Stone
tt1825683,Black Panther
tt0245429,Spirited Away
tt0770828,Man of Steel
tt0268978,A Beautiful Mind
tt1675434,The Intouchables
tt0253474,The Pianist
tt2084970,The Imitation Game
tt1285016,The Social Network
tt2024544,12 Years a Slave
tt1504320,The King's Speech
tt0758758,Into the Wild
tt1024648,Argo
tt1727824,Bohemian Rhapsody
tt2119532,Hacksaw Ridge
tt0382932,Ratatouille
tt0317705,The Incredibles
tt0892769,How to Train Your Dragon
tt2096673,Inside Out
tt0126029,Shrek
tt2294629,Frozen
tt0120363,Toy Story 2
tt4633694,Spider-Man: Into the Spider-Verse
tt1323594,Despicable Me
tt2380307,Coco
tt1119646,The Hangover
tt7131622,Once Upon a Time in Hollywood
tt3501632,Thor: Ragnarok
tt0211915,Amélie
tt8946378,Knives Out
tt1045658,Silver Linings Playbook
tt0167404,The Sixth Sense
tt2267998,Gone Girl
tt0119217,Good Will Hunting
tt2582802,Whiplash
tt0416449,300
tt3498820,Captain America: Civil War
tt0083658,Blade Runner
tt3315342,Logan
tt0480249,I Am Legend
tt0378194,Kill Bill: Vol. 2
tt0317248,City of God
tt1392214,Prisoners
tt0116282,Fargo
tt2911666,John Wick
tt1670345,Now You See Me
tt0113277,Heat
tt0144084,American Psycho
tt3460252,The Hateful Eight
tt0936501,Taken
tt0120735,"Lock, Stock and Two Smoking Barrels"
tt0119488,L.A. Confidential
tt0060196,"The Good, the Bad and the Ugly"
tt0097576,Indiana Jones and the Last Crusade
tt0454921,The Pursuit of Happyness
tt6966692,Green Book
tt2179136,American Sniper
tt0790636,Dallas Buyers Club
tt1979320,Rush
tt1895587,Spotlight
tt1535109,Captain Phillips
tt2980516,The Theory of Everything
tt1596363,The Big Short
tt1210166,Moneyball
tt0765429,American Gangster
tt1950186,Ford v Ferrari
tt0086879,Amadeus
tt1302006,The Irishman
tt2948356,Zootopia
tt0268380,Ice Age
tt0441773,Kung Fu Panda
tt0298148,Shrek 2
tt2245084,Big Hero 6
tt0398286,Tangled
tt0101414,Beauty and the Beast
tt0317219,Cars
tt1772341,Wreck-It Ralph
